1=p	2=qi.1	3=qi.2	4=qi.3	5=qi.4	6=qi.5	7=qi.6	8=qi.7	9=qi.8	10=theta	11=c	12=s	13=q
0.276179	0.300524	0.25512	0.313199	0.280827	0.277417	0.287819	0.278625	0.287257	1.04697	645.661	0.470095	0.285448
0.282362	0.289733	0.278109	0.285129	0.305343	0.286333	0.304153	0.278354	0.283339	1.01901	1949.89	0.0339428	0.286194
0.279027	0.288001	0.258665	0.291973	0.273906	0.276132	0.284919	0.276985	0.282253	0.990392	2124.7	0.0324585	0.277089
0.285605	0.300186	0.268859	0.306897	0.31168	0.28194	0.306431	0.272005	0.283938	0.99801	486.169	0.230037	0.285199
0.28841	0.307821	0.263027	0.302404	0.305053	0.275078	0.313795	0.277651	0.280896	0.959032	536.49	0.159457	0.279902
0.276221	0.294447	0.282602	0.301225	0.295747	0.274161	0.279647	0.276222	0.289578	1.01009	2257.42	0.0939846	0.278233
0.285256	0.294597	0.24384	0.314394	0.288572	0.277481	0.308376	0.284752	0.279817	0.936002	253.457	0.242428	0.271965
0.284046	0.299476	0.265039	0.315423	0.276583	0.283208	0.305818	0.273324	0.289839	0.970939	571.505	0.275813	0.278086
0.282128	0.29576	0.266452	0.322228	0.289667	0.274286	0.295716	0.274678	0.294873	0.997951	1031.97	0.597598	0.281713
0.286689	0.303442	0.251226	0.301085	0.307626	0.28497	0.294895	0.266112	0.287473	1.03588	300.034	0.0526875	0.293953
0.279054	0.286059	0.266663	0.299723	0.269507	0.271101	0.29517	0.279714	0.282936	1.03152	1198.57	0.0180185	0.285339
0.277632	0.291937	0.272558	0.306794	0.303859	0.283307	0.299788	0.266745	0.287224	1.0112	887.589	0.14088	0.279871
0.286405	0.313567	0.261394	0.312207	0.313754	0.272979	0.301378	0.264229	0.294669	1.0545	628.874	0.0845267	0.297372
0.280886	0.281882	0.260824	0.287975	0.275219	0.278337	0.289268	0.281049	0.272804	0.9984	1925.87	0.0796424	0.280562
0.27594	0.284405	0.26569	0.283627	0.291531	0.268107	0.288258	0.284546	0.290553	1.01747	2362.91	1.03766	0.279413
0.286485	0.303861	0.259648	0.31854	0.29993	0.295906	0.309091	0.265047	0.278852	1.00939	896.072	1.30873	0.2884
0.281521	0.304984	0.263379	0.311348	0.28919	0.284746	0.306763	0.278486	0.27232	1.0689	306.902	0.0408662	0.295192
0.281772	0.295503	0.261384	0.297115	0.314383	0.283424	0.299836	0.283077	0.273763	1.00375	1593.05	0.475662	0.282531
0.28559	0.286684	0.254282	0.288861	0.29972	0.28012	0.297458	0.277824	0.278853	1.02246	1258.08	0.639374	0.290144
0.280364	0.296393	0.255173	0.288723	0.29977	0.278186	0.307747	0.277065	0.274839	1.01746	1560.8	0.0842738	0.28387
0.286805	0.290185	0.272301	0.292323	0.289043	0.29031	0.292989	0.279834	0.2947	1.00607	3855.99	0.0584324	0.288044
0.283911	0.299036	0.274507	0.286729	0.286918	0.281783	0.298015	0.289189	0.293957	1.0185	2849.1	0.103223	0.287653
0.282643	0.303578	0.279581	0.289385	0.284175	0.282941	0.295068	0.28422	0.291783	1.00996	1992.97	0.077709	0.284657
0.279198	0.283406	0.275543	0.289193	0.296663	0.277344	0.296807	0.27891	0.275895	1.03812	2112.79	0.163659	0.286788
0.278506	0.291849	0.279173	0.286565	0.286503	0.273923	0.280256	0.281734	0.284061	1.01857	3160.03	0.0447955	0.282219
